Class,Course,Term Name,Class Ave,Class Ave,Credits,
ECON302-202209,ECON302,F2022,B+,3.30,3.00,#REF!
ECON302-202309,ECON302,F2023,B+,3.30,3.00,#REF!
ECON302-202409,ECON302,F2024,A-,3.70,3.00,#REF!
ECON304-201701,ECON304,W2017,B+,3.30,3.00,#REF!
ECON304-201801,ECON304,W2018,B,3.00,3.00,#REF!
ECON304-201901,ECON304,W2019,B,3.00,3.00,#REF!
ECON304-202101,ECON304,W2021,A-,3.70,3.00,#REF!
ECON304-202201,ECON304,W2022,B,3.00,3.00,#REF!
ECON304-202301,ECON304,W2023,A-,3.70,3.00,#REF!
ECON304-202401,ECON304,W2024,A-,3.70,3.00,#REF!
ECON305-201609,ECON305,F2016,B-,2.70,3.00,#REF!
ECON305-201809,ECON305,F2018,B,3.00,3.00,#REF!
ECON305-201909,ECON305,F2019,B-,2.70,3.00,#REF!
ECON305-202209,ECON305,F2022,B,3.00,3.00,#REF!
ECON306-201709,ECON306,F2017,B+,3.30,3.00,#REF!
ECON306-201809,ECON306,F2018,B+,3.30,3.00,#REF!
ECON306-201909,ECON306,F2019,B+,3.30,3.00,#REF!
ECON306-202009,ECON306,F2020,B+,3.30,3.00,#REF!
ECON306-202109,ECON306,F2021,B,3.00,3.00,#REF!
ECON306-202409,ECON306,F2024,B,3.00,3.00,#REF!
ECON308-201701,ECON308,W2017,B-,2.70,3.00,#REF!
ECON308-201801,ECON308,W2018,B,3.00,3.00,#REF!
ECON308-202101,ECON308,W2021,B,3.00,3.00,#REF!
ECON308-202409,ECON308,F2024,B+,3.30,3.00,#REF!
ECON310-201709,ECON310,F2017,B,3.00,3.00,#REF!
ECON310-201901,ECON310,W2019,B+,3.30,3.00,#REF!
ECON310-202109,ECON310,F2021,B+,3.30,3.00,#REF!
ECON310-202301,ECON310,W2023,B+,3.30,3.00,#REF!
ECON310-202401,ECON310,W2024,B+,3.30,3.00,#REF!
ECON313-201509,ECON313,F2015,B+,3.30,3.00,#REF!
ECON313-201601,ECON313,W2016,B+,3.30,3.00,#REF!
ECON313-201605,ECON313,S2016,B-,2.70,3.00,#REF!
ECON313-201609,ECON313,F2016,B,3.00,3.00,#REF!
ECON313-201701,ECON313,W2017,B,3.00,3.00,#REF!
ECON313-201705,ECON313,S2017,B+,3.30,3.00,#REF!
ECON313-201709,ECON313,F2017,B+,3.30,3.00,#REF!
ECON313-201801,ECON313,W2018,B,3.00,3.00,#REF!
ECON313-201805,ECON313,S2018,B+,3.30,3.00,#REF!
ECON313-201809,ECON313,F2018,B+,3.30,3.00,#REF!
ECON313-201901,ECON313,W2019,B+,3.30,3.00,#REF!
ECON313-201905,ECON313,S2019,B-,2.70,3.00,#REF!
ECON313-201909,ECON313,F2019,B,3.00,3.00,#REF!
ECON313-202005,ECON313,S2020,B,3.00,3.00,#REF!
ECON313-202009,ECON313,F2020,B+,3.30,3.00,#REF!
ECON313-202101,ECON313,W2021,B+,3.30,3.00,#REF!
ECON313-202105,ECON313,S2021,B,3.00,3.00,#REF!
ECON313-202109,ECON313,F2021,B+,3.30,3.00,#REF!
ECON313-202201,ECON313,W2022,B+,3.30,3.00,#REF!
ECON313-202205,ECON313,S2022,B,3.00,3.00,#REF!
ECON313-202209,ECON313,F2022,B,3.00,3.00,#REF!
ECON313-202301,ECON313,W2023,B+,3.30,3.00,#REF!
ECON313-202305,ECON313,S2023,B,3.00,3.00,#REF!
ECON313-202309,ECON313,F2023,B,3.00,3.00,#REF!
ECON313-202401,ECON313,W2024,B+,3.30,3.00,#REF!
ECON313-202405,ECON313,S2024,B+,3.30,3.00,#REF!
ECON313-202409,ECON313,F2024,B,3.00,3.00,#REF!
ECON314-201609,ECON314,F2016,B,3.00,3.00,#REF!
ECON314-201701,ECON314,W2017,B,3.00,3.00,#REF!
ECON314-201709,ECON314,F2017,B+,3.30,3.00,#REF!
ECON314-201801,ECON314,W2018,B,3.00,3.00,#REF!
ECON314-201809,ECON314,F2018,B,3.00,3.00,#REF!
ECON314-201901,ECON314,W2019,B,3.00,3.00,#REF!
ECON314-201909,ECON314,F2019,B,3.00,3.00,#REF!
ECON314-202009,ECON314,F2020,A-,3.70,3.00,#REF!
ECON314-202101,ECON314,W2021,B+,3.30,3.00,#REF!
ECON314-202109,ECON314,F2021,B+,3.30,3.00,#REF!
ECON314-202201,ECON314,W2022,B-,2.70,3.00,#REF!
ECON314-202301,ECON314,W2023,B,3.00,3.00,#REF!
ECON314-202309,ECON314,F2023,B+,3.30,3.00,#REF!
ECON314-202401,ECON314,W2024,B,3.00,3.00,#REF!
ECON316-201509,ECON316,F2015,B,3.00,3.00,#REF!
ECON316-201709,ECON316,F2017,B+,3.30,3.00,#REF!
ECON316-201809,ECON316,F2018,B+,3.30,3.00,#REF!
ECON316-201909,ECON316,F2019,B,3.00,3.00,#REF!
ECON316-202009,ECON316,F2020,B+,3.30,3.00,#REF!
ECON316-202109,ECON316,F2021,B+,3.30,3.00,#REF!
ECON316-202209,ECON316,F2022,A-,3.70,3.00,#REF!
ECON316-202309,ECON316,F2023,B+,3.30,3.00,#REF!
ECON316-202409,ECON316,F2024,A-,3.70,3.00,#REF!
ECON319-201609,ECON319,F2016,B+,3.30,3.00,#REF!
ECON319-201709,ECON319,F2017,B+,3.30,3.00,#REF!
ECON319-201809,ECON319,F2018,B+,3.30,3.00,#REF!
ECON319-201909,ECON319,F2019,B+,3.30,3.00,#REF!
ECON319-202009,ECON319,F2020,A-,3.70,3.00,#REF!
ECON319-202209,ECON319,F2022,B,3.00,3.00,#REF!
ECON319-202309,ECON319,F2023,B+,3.30,3.00,#REF!
ECON319-202409,ECON319,F2024,B+,3.30,3.00,#REF!
ECON326-201809,ECON326,F2018,B,3.00,3.00,#REF!
ECON326-201909,ECON326,F2019,B+,3.30,3.00,#REF!
ECON326-202101,ECON326,W2021,B+,3.30,3.00,#REF!
ECON326-202109,ECON326,F2021,A-,3.70,3.00,#REF!
ECON326-202201,ECON326,W2022,B+,3.30,3.00,#REF!
ECON326-202209,ECON326,F2022,B+,3.30,3.00,#REF!
ECON326-202309,ECON326,F2023,B+,3.30,3.00,#REF!
ECON326-202401,ECON326,W2024,A-,3.70,3.00,#REF!
ECON330D2-201601,ECON330D2,W2016,B,3.00,3.00,#REF!
ECON330D2-201701,ECON330D2,W2017,B,3.00,3.00,#REF!
ECON330D2-201801,ECON330D2,W2018,B-,2.70,3.00,#REF!
ECON330D2-201901,ECON330D2,W2019,B,3.00,3.00,#REF!
ECON330D2-202101,ECON330D2,W2021,B+,3.30,3.00,#REF!
ECON330D2-202201,ECON330D2,W2022,B,3.00,3.00,#REF!
ECON330D2-202301,ECON330D2,W2023,B-,2.70,3.00,#REF!
ECON332-202309,ECON332,F2023,B,3.00,3.00,#REF!
ECON332-202409,ECON332,F2024,B,3.00,3.00,#REF!
ECON333-202401,ECON333,W2024,B-,2.70,3.00,#REF!
ECON333-202501,ECON333,W2025,B,3.00,3.00,#REF!
ECON334-201701,ECON334,W2017,B+,3.30,3.00,#REF!
ECON334-201901,ECON334,W2019,B,3.00,3.00,#REF!
ECON334-202009,ECON334,F2020,B+,3.30,3.00,#REF!
ECON334-202109,ECON334,F2021,B+,3.30,3.00,#REF!
ECON334-202209,ECON334,F2022,B+,3.30,3.00,#REF!
ECON335-201609,ECON335,F2016,B,3.00,3.00,#REF!
ECON336-201609,ECON336,F2016,B,3.00,3.00,#REF!
ECON336-201709,ECON336,F2017,B,3.00,3.00,#REF!
ECON337-201609,ECON337,F2016,A-,3.70,3.00,#REF!
ECON337-201709,ECON337,F2017,B,3.00,3.00,#REF!
ECON337-201809,ECON337,F2018,A-,3.70,3.00,#REF!
ECON337-201909,ECON337,F2019,B,3.00,3.00,#REF!
ECON337-202009,ECON337,F2020,B+,3.30,3.00,#REF!
ECON337-202109,ECON337,F2021,B+,3.30,3.00,#REF!
ECON337-202209,ECON337,F2022,B+,3.30,3.00,#REF!
ECON337-202309,ECON337,F2023,B+,3.30,3.00,#REF!
ECON337-202409,ECON337,F2024,B+,3.30,3.00,#REF!
ECON338-201701,ECON338,W2017,A,4.00,3.00,#REF!
ECON338-202101,ECON338,W2021,A-,3.70,3.00,#REF!
ECON338-202301,ECON338,W2023,B-,2.70,3.00,#REF!
ECON338-202401,ECON338,W2024,A-,3.70,3.00,#REF!
ECON347-201901,ECON347,W2019,B,3.00,3.00,#REF!
ECON347-202009,ECON347,F2020,B+,3.30,3.00,#REF!
ECON347-202101,ECON347,W2021,B+,3.30,3.00,#REF!
ECON347-202201,ECON347,W2022,A-,3.70,3.00,#REF!
ECON347-202301,ECON347,W2023,B,3.00,3.00,#REF!
ECON347-202401,ECON347,W2024,B,3.00,3.00,#REF!
ECON348-201901,ECON348,W2019,B+,3.30,3.00,#REF!
ECON348-202101,ECON348,W2021,B+,3.30,3.00,#REF!
ECON348-202201,ECON348,W2022,C+,2.30,3.00,#REF!
ECON348-202301,ECON348,W2023,B,3.00,3.00,#REF!
ECON348-202409,ECON348,F2024,B+,3.30,3.00,#REF!
ECON350-202401,ECON350,W2024,A-,3.70,3.00,#REF!
ECON352D2-201501,ECON352D2,W2015,A-,3.70,3.00,#REF!
ECON352D2-201601,ECON352D2,W2016,B+,3.30,3.00,#REF!
ECON352D2-201701,ECON352D2,W2017,B+,3.30,3.00,#REF!
ECON352D2-201801,ECON352D2,W2018,B+,3.30,3.00,#REF!
ECON352D2-201901,ECON352D2,W2019,B,3.00,3.00,#REF!
ECON352D2-202101,ECON352D2,W2021,B+,3.30,3.00,#REF!
ECON352D2-202201,ECON352D2,W2022,B+,3.30,3.00,#REF!
ECON352D2-202301,ECON352D2,W2023,B+,3.30,3.00,#REF!
ECON353-202309,ECON353,F2023,B+,3.30,3.00,#REF!
ECON353-202409,ECON353,F2024,B+,3.30,3.00,#REF!
ECON354-202401,ECON354,W2024,A-,3.70,3.00,#REF!
ECON405-202301,ECON405,W2023,B+,3.30,3.00,#REF!
ECON406-201701,ECON406,W2017,B,3.00,3.00,#REF!
ECON406-202301,ECON406,W2023,B+,3.30,3.00,#REF!
ECON406-202401,ECON406,W2024,B+,3.30,3.00,#REF!
ECON408-201809,ECON408,F2018,B,3.00,3.00,#REF!
ECON408-201909,ECON408,F2019,B+,3.30,3.00,#REF!
ECON408-202009,ECON408,F2020,A,4.00,3.00,#REF!
ECON408-202109,ECON408,F2021,A,4.00,3.00,#REF!
ECON408-202209,ECON408,F2022,A-,3.70,3.00,#REF!
ECON408-202309,ECON408,F2023,B+,3.30,3.00,#REF!
ECON408-202409,ECON408,F2024,A-,3.70,3.00,#REF!
ECON409-201801,ECON409,W2018,B,3.00,3.00,#REF!
ECON409-202401,ECON409,W2024,A-,3.70,3.00,#REF!
ECON416-201901,ECON416,W2019,B+,3.30,3.00,#REF!
ECON416-202401,ECON416,W2024,B+,3.30,3.00,#REF!
ECON420-201609,ECON420,F2016,B,3.00,3.00,#REF!
ECON423-201809,ECON423,F2018,B,3.00,3.00,#REF!
ECON423-201909,ECON423,F2019,B-,2.70,3.00,#REF!
ECON423-202009,ECON423,F2020,B+,3.30,3.00,#REF!
ECON423-202109,ECON423,F2021,B,3.00,3.00,#REF!
ECON423-202209,ECON423,F2022,B,3.00,3.00,#REF!
ECON423-202309,ECON423,F2023,A-,3.70,3.00,#REF!
ECON423-202409,ECON423,F2024,A,4.00,3.00,#REF!
ECON424-201801,ECON424,W2018,B,3.00,3.00,#REF!
ECON424-201901,ECON424,W2019,B,3.00,3.00,#REF!
ECON424-202201,ECON424,W2022,B,3.00,3.00,#REF!
ECON424-202301,ECON424,W2023,B,3.00,3.00,#REF!
ECON426-201909,ECON426,F2019,B+,3.30,3.00,#REF!
ECON426-202109,ECON426,F2021,B+,3.30,3.00,#REF!
ECON426-202209,ECON426,F2022,B+,3.30,3.00,#REF!
ECON434-202101,ECON434,W2021,B+,3.30,3.00,#REF!
ECON434-202309,ECON434,F2023,A-,3.70,3.00,#REF!
ECON437-202401,ECON437,W2024,A-,3.70,3.00,#REF!
ECON440-201901,ECON440,W2019,B-,2.70,3.00,#REF!
ECON440-202201,ECON440,W2022,B+,3.30,3.00,#REF!
ECON440-202301,ECON440,W2023,B+,3.30,3.00,#REF!
ECON447-202101,ECON447,W2021,A-,3.70,3.00,#REF!
ECON447-202301,ECON447,W2023,B+,3.30,3.00,#REF!
ECON450-201509,ECON450,F2015,A-,3.70,3.00,#REF!
ECON450-202101,ECON450,W2021,A-,3.70,3.00,#REF!
ECON450-202201,ECON450,W2022,B+,3.30,3.00,#REF!
ECON450-202301,ECON450,W2023,B+,3.30,3.00,#REF!
ECON450-202401,ECON450,W2024,B+,3.30,3.00,#REF!
ECON450-202501,ECON450,W2025,B+,3.30,3.00,#REF!
ECON452-201601,ECON452,W2016,B+,3.30,3.00,#REF!
ECON452-201809,ECON452,F2018,B+,3.30,3.00,#REF!
ECON452-201909,ECON452,F2019,B+,3.30,3.00,#REF!
ECON452-202101,ECON452,W2021,B+,3.30,3.00,#REF!
ECON452-202109,ECON452,F2021,B+,3.30,3.00,#REF!
ECON452-202209,ECON452,F2022,B+,3.30,3.00,#REF!
ECON452-202309,ECON452,F2023,B,3.00,3.00,#REF!
ECON452-202409,ECON452,F2024,A-,3.70,3.00,#REF!
ECON454-201901,ECON454,W2019,B+,3.30,3.00,#REF!
ECON460-201709,ECON460,F2017,A-,3.70,3.00,#REF!
ECON460-201909,ECON460,F2019,A-,3.70,3.00,#REF!
ECON460-202009,ECON460,F2020,A-,3.70,3.00,#REF!
ECON460-202209,ECON460,F2022,B+,3.30,3.00,#REF!
ECON460-202309,ECON460,F2023,A-,3.70,3.00,#REF!
ECON460-202501,ECON460,W2025,A-,3.70,3.00,#REF!
ECON461-202201,ECON461,W2022,B+,3.30,3.00,#REF!
ECON468-201409,ECON468,F2014,B,3.00,3.00,#REF!
ECON468-201509,ECON468,F2015,B-,2.70,3.00,#REF!
ECON468-201909,ECON468,F2019,B-,2.70,3.00,#REF!
ECON468-202009,ECON468,F2020,A-,3.70,3.00,#REF!
ECON468-202109,ECON468,F2021,B,3.00,3.00,#REF!
ECON468-202309,ECON468,F2023,B,3.00,3.00,#REF!
ECON468-202409,ECON468,F2024,B+,3.30,3.00,#REF!
ECON469-201601,ECON469,W2016,B+,3.30,3.00,#REF!
ECON473-202109,ECON473,F2021,B-,2.70,3.00,#REF!
ECON510-202401,ECON510,W2024,A-,3.70,3.00,#REF!
ECON510-202501,ECON510,W2025,B+,3.30,3.00,#REF!
ECON511-202301,ECON511,W2023,A-,3.70,3.00,#REF!
ECON546-201701,ECON546,W2017,B,3.00,3.00,#REF!
ECON546-201801,ECON546,W2018,B+,3.30,3.00,#REF!
ECON546-201901,ECON546,W2019,B+,3.30,3.00,#REF!
ECON546-201909,ECON546,F2019,A-,3.70,3.00,#REF!
ECON546-202009,ECON546,F2020,A-,3.70,3.00,#REF!
ECON546-202109,ECON546,F2021,B,3.00,3.00,#REF!
ECON546-202209,ECON546,F2022,B,3.00,3.00,#REF!
ECON546-202309,ECON546,F2023,B,3.00,3.00,#REF!
ECON546-202409,ECON546,F2024,A-,3.70,3.00,#REF!
ECSE200-201401,ECSE200,W2014,B-,2.70,3.00,#REF!
ECSE200-201409,ECSE200,F2014,C+,2.30,3.00,#REF!
ECSE200-201501,ECSE200,W2015,B-,2.70,3.00,#REF!
ECSE200-201509,ECSE200,F2015,B-,2.70,3.00,#REF!
ECSE200-201601,ECSE200,W2016,B-,2.70,3.00,#REF!
ECSE200-201609,ECSE200,F2016,B,3.00,3.00,#REF!
ECSE200-201701,ECSE200,W2017,B,3.00,3.00,#REF!
ECSE200-201709,ECSE200,F2017,B+,3.30,3.00,#REF!
ECSE200-201801,ECSE200,W2018,B+,3.30,3.00,#REF!
ECSE200-201809,ECSE200,F2018,B+,3.30,3.00,#REF!
ECSE200-201901,ECSE200,W2019,B+,3.30,3.00,#REF!
ECSE200-201909,ECSE200,F2019,B-,2.70,3.00,#REF!
ECSE200-202009,ECSE200,F2020,A-,3.70,3.00,#REF!
ECSE200-202101,ECSE200,W2021,A-,3.70,3.00,#REF!
ECSE200-202109,ECSE200,F2021,A-,3.70,3.00,#REF!
ECSE200-202201,ECSE200,W2022,A-,3.70,3.00,#REF!
ECSE200-202209,ECSE200,F2022,B+,3.30,3.00,#REF!
ECSE200-202301,ECSE200,W2023,B+,3.30,3.00,#REF!
ECSE200-202309,ECSE200,F2023,A-,3.70,3.00,#REF!
ECSE200-202401,ECSE200,W2024,B+,3.30,3.00,#REF!
ECSE200-202409,ECSE200,F2024,A-,3.70,3.00,#REF!
ECSE200-202501,ECSE200,W2025,B,3.00,3.00,#REF!
ECSE202-201609,ECSE202,F2016,B-,2.70,3.00,#REF!
ECSE202-201701,ECSE202,W2017,A-,3.70,3.00,#REF!
ECSE202-201709,ECSE202,F2017,B,3.00,3.00,#REF!
ECSE202-201801,ECSE202,W2018,B-,2.70,3.00,#REF!
ECSE202-201809,ECSE202,F2018,B+,3.30,3.00,#REF!
ECSE202-201901,ECSE202,W2019,B+,3.30,3.00,#REF!
ECSE202-201909,ECSE202,F2019,B-,2.70,3.00,#REF!
ECSE202-202009,ECSE202,F2020,B+,3.30,3.00,#REF!
ECSE202-202101,ECSE202,W2021,B,3.00,3.00,#REF!
ECSE202-202109,ECSE202,F2021,B,3.00,3.00,#REF!
ECSE202-202201,ECSE202,W2022,B+,3.30,3.00,#REF!
ECSE205-201609,ECSE205,F2016,B+,3.30,3.00,#REF!
ECSE205-201701,ECSE205,W2017,B-,2.70,3.00,#REF!
ECSE205-201709,ECSE205,F2017,B-,2.70,3.00,#REF!
ECSE205-201801,ECSE205,W2018,B-,2.70,3.00,#REF!
ECSE205-201809,ECSE205,F2018,B,3.00,3.00,#REF!
ECSE205-201901,ECSE205,W2019,B,3.00,3.00,#REF!
ECSE205-201909,ECSE205,F2019,B+,3.30,3.00,#REF!
ECSE205-202005,ECSE205,S2020,B+,3.30,3.00,#REF!
ECSE205-202009,ECSE205,F2020,B+,3.30,3.00,#REF!
ECSE205-202101,ECSE205,W2021,B+,3.30,3.00,#REF!
ECSE205-202109,ECSE205,F2021,B,3.00,3.00,#REF!
ECSE205-202201,ECSE205,W2022,B+,3.30,3.00,#REF!
ECSE205-202209,ECSE205,F2022,B+,3.30,3.00,#REF!
ECSE205-202301,ECSE205,W2023,B,3.00,3.00,#REF!
ECSE205-202309,ECSE205,F2023,B+,3.30,3.00,#REF!
ECSE205-202401,ECSE205,W2024,B+,3.30,3.00,#REF!
ECSE205-202409,ECSE205,F2024,B+,3.30,3.00,#REF!
ECSE205-202501,ECSE205,W2025,A-,3.70,3.00,#REF!
ECSE206-201701,ECSE206,W2017,B-,2.70,3.00,#REF!
ECSE206-201709,ECSE206,F2017,B-,2.70,3.00,#REF!
ECSE206-201801,ECSE206,W2018,B+,3.30,3.00,#REF!
ECSE206-201809,ECSE206,F2018,B+,3.30,3.00,#REF!
ECSE206-201901,ECSE206,W2019,B,3.00,3.00,#REF!
ECSE206-201909,ECSE206,F2019,B-,2.70,3.00,#REF!
ECSE206-202009,ECSE206,F2020,B+,3.30,3.00,#REF!
ECSE206-202101,ECSE206,W2021,A-,3.70,3.00,#REF!
ECSE206-202109,ECSE206,F2021,B+,3.30,3.00,#REF!
ECSE206-202201,ECSE206,W2022,A-,3.70,3.00,#REF!
ECSE206-202209,ECSE206,F2022,B+,3.30,3.00,#REF!
ECSE206-202301,ECSE206,W2023,A-,3.70,3.00,#REF!
ECSE206-202309,ECSE206,F2023,A-,3.70,3.00,#REF!
ECSE206-202401,ECSE206,W2024,B+,3.30,3.00,#REF!
ECSE206-202409,ECSE206,F2024,A-,3.70,3.00,#REF!
ECSE209-202209,ECSE209,F2022,B+,3.30,3.00,#REF!
ECSE209-202309,ECSE209,F2023,B+,3.30,3.00,#REF!
ECSE210-201409,ECSE210,F2014,C+,2.30,3.00,#REF!
ECSE210-201501,ECSE210,W2015,B,3.00,3.00,#REF!
ECSE210-201505,ECSE210,S2015,C,2.00,3.00,#REF!
ECSE210-201509,ECSE210,F2015,C+,2.30,3.00,#REF!
ECSE210-201601,ECSE210,W2016,B,3.00,3.00,#REF!
ECSE210-201605,ECSE210,S2016,B-,2.70,3.00,#REF!
ECSE210-201609,ECSE210,F2016,B-,2.70,3.00,#REF!
ECSE210-201701,ECSE210,W2017,C+,2.30,3.00,#REF!
ECSE210-201705,ECSE210,S2017,B-,2.70,3.00,#REF!
ECSE210-201801,ECSE210,W2018,B-,2.70,3.00,#REF!
ECSE210-201805,ECSE210,S2018,B,3.00,3.00,#REF!
ECSE210-201901,ECSE210,W2019,B+,3.30,3.00,#REF!
ECSE210-201905,ECSE210,S2019,A-,3.70,3.00,#REF!
ECSE210-202009,ECSE210,F2020,A,4.00,3.00,#REF!
ECSE210-202101,ECSE210,W2021,A,4.00,3.00,#REF!
ECSE210-202109,ECSE210,F2021,B,3.00,3.00,#REF!
ECSE210-202201,ECSE210,W2022,B-,2.70,3.00,#REF!
ECSE210-202209,ECSE210,F2022,B,3.00,3.00,#REF!
ECSE210-202301,ECSE210,W2023,B,3.00,3.00,#REF!
ECSE210-202309,ECSE210,F2023,B-,2.70,3.00,#REF!
ECSE210-202401,ECSE210,W2024,C+,2.30,3.00,#REF!
ECSE210-202409,ECSE210,F2024,B+,3.30,3.00,#REF!
ECSE210-202501,ECSE210,W2025,B+,3.30,3.00,#REF!
ECSE211-201409,ECSE211,F2014,B+,3.30,3.00,#REF!
ECSE211-201501,ECSE211,W2015,A-,3.70,3.00,#REF!
ECSE211-201601,ECSE211,W2016,B+,3.30,3.00,#REF!
ECSE211-201609,ECSE211,F2016,A-,3.70,3.00,#REF!
ECSE211-201701,ECSE211,W2017,A-,3.70,3.00,#REF!
ECSE211-201709,ECSE211,F2017,B+,3.30,3.00,#REF!
ECSE211-201801,ECSE211,W2018,B,3.00,3.00,#REF!
ECSE211-201809,ECSE211,F2018,A-,3.70,3.00,#REF!
ECSE211-201901,ECSE211,W2019,A-,3.70,3.00,#REF!
ECSE211-201909,ECSE211,F2019,A-,3.70,3.00,#REF!
ECSE211-202009,ECSE211,F2020,B+,3.30,3.00,#REF!
ECSE211-202101,ECSE211,W2021,B,3.00,3.00,#REF!
ECSE211-202109,ECSE211,F2021,B,3.00,3.00,#REF!
ECSE211-202201,ECSE211,W2022,B+,3.30,3.00,#REF!
ECSE211-202209,ECSE211,F2022,A-,3.70,3.00,#REF!
ECSE211-202301,ECSE211,W2023,B-,2.70,3.00,#REF!
ECSE211-202309,ECSE211,F2023,B+,3.30,3.00,#REF!
ECSE211-202401,ECSE211,W2024,B+,3.30,3.00,#REF!
ECSE211-202409,ECSE211,F2024,A-,3.70,3.00,#REF!
ECSE221-201401,ECSE221,W2014,B-,2.70,3.00,#REF!
ECSE221-201409,ECSE221,F2014,B-,2.70,3.00,#REF!
ECSE221-201501,ECSE221,W2015,B-,2.70,3.00,#REF!
ECSE221-201509,ECSE221,F2015,B,3.00,3.00,#REF!
ECSE221-201601,ECSE221,W2016,B-,2.70,3.00,#REF!
ECSE221-201609,ECSE221,F2016,B-,2.70,3.00,#REF!
ECSE222-201701,ECSE222,W2017,A-,3.70,3.00,#REF!
ECSE222-201709,ECSE222,F2017,A,4.00,3.00,#REF!
ECSE222-201801,ECSE222,W2018,B,3.00,3.00,#REF!
ECSE222-201809,ECSE222,F2018,A-,3.70,3.00,#REF!
ECSE222-201901,ECSE222,W2019,A-,3.70,3.00,#REF!
ECSE222-201909,ECSE222,F2019,B+,3.30,3.00,#REF!
ECSE222-202009,ECSE222,F2020,A,4.00,3.00,#REF!
ECSE222-202101,ECSE222,W2021,A-,3.70,3.00,#REF!
ECSE222-202109,ECSE222,F2021,B,3.00,3.00,#REF!
ECSE222-202201,ECSE222,W2022,B+,3.30,3.00,#REF!
ECSE222-202209,ECSE222,F2022,B,3.00,3.00,#REF!
ECSE222-202301,ECSE222,W2023,B,3.00,3.00,#REF!
ECSE222-202309,ECSE222,F2023,B+,3.30,3.00,#REF!
ECSE222-202401,ECSE222,W2024,A-,3.70,3.00,#REF!
ECSE222-202409,ECSE222,F2024,A-,3.70,3.00,#REF!
ECSE222-202501,ECSE222,W2025,A-,3.70,3.00,#REF!
ECSE223-201701,ECSE223,W2017,B+,3.30,3.00,#REF!
ECSE223-201801,ECSE223,W2018,B+,3.30,3.00,#REF!
ECSE223-201901,ECSE223,W2019,B+,3.30,3.00,#REF!
ECSE223-201909,ECSE223,F2019,B+,3.30,3.00,#REF!
ECSE223-202009,ECSE223,F2020,A-,3.70,3.00,#REF!
ECSE223-202101,ECSE223,W2021,A,4.00,3.00,#REF!
ECSE223-202109,ECSE223,F2021,A-,3.70,3.00,#REF!
ECSE223-202201,ECSE223,W2022,A-,3.70,3.00,#REF!
ECSE223-202209,ECSE223,F2022,A-,3.70,3.00,#REF!
ECSE223-202301,ECSE223,W2023,B+,3.30,3.00,#REF!
ECSE223-202309,ECSE223,F2023,A-,3.70,3.00,#REF!
ECSE223-202401,ECSE223,W2024,A-,3.70,3.00,#REF!
ECSE223-202409,ECSE223,F2024,A-,3.70,3.00,#REF!
ECSE223-202501,ECSE223,W2025,A-,3.70,3.00,#REF!
ECSE250-202301,ECSE250,W2023,B+,3.30,3.00,#REF!
ECSE250-202309,ECSE250,F2023,B+,3.30,3.00,#REF!
ECSE250-202401,ECSE250,W2024,A-,3.70,3.00,#REF!
ECSE250-202409,ECSE250,F2024,A-,3.70,3.00,#REF!
ECSE250-202501,ECSE250,W2025,A-,3.70,3.00,#REF!
ECSE251-201701,ECSE251,W2017,B+,3.30,3.00,#REF!
ECSE251-201709,ECSE251,F2017,B-,2.70,3.00,#REF!
ECSE251-201801,ECSE251,W2018,B+,3.30,3.00,#REF!
ECSE251-201809,ECSE251,F2018,C+,2.30,3.00,#REF!
ECSE251-201901,ECSE251,W2019,B,3.00,3.00,#REF!
ECSE251-201909,ECSE251,F2019,B-,2.70,3.00,#REF!
ECSE251-202009,ECSE251,F2020,A-,3.70,3.00,#REF!
ECSE251-202101,ECSE251,W2021,B,3.00,3.00,#REF!
ECSE251-202201,ECSE251,W2022,C,2.00,3.00,#REF!
ECSE251-202209,ECSE251,F2022,B+,3.30,3.00,#REF!
ECSE251-202301,ECSE251,W2023,B-,2.70,3.00,#REF!
ECSE251-202309,ECSE251,F2023,B+,3.30,3.00,#REF!
ECSE251-202401,ECSE251,W2024,B,3.00,3.00,#REF!
ECSE251-202409,ECSE251,F2024,B+,3.30,3.00,#REF!
ECSE291-201409,ECSE291,F2014,A-,3.70,2.00,#REF!
ECSE291-201501,ECSE291,W2015,B+,3.30,2.00,#REF!
ECSE291-201509,ECSE291,F2015,A-,3.70,2.00,#REF!
ECSE291-201601,ECSE291,W2016,A-,3.70,2.00,#REF!
ECSE291-201609,ECSE291,F2016,B+,3.30,2.00,#REF!
ECSE303-201509,ECSE303,F2015,B,3.00,3.00,#REF!
ECSE303-201601,ECSE303,W2016,B,3.00,3.00,#REF!
ECSE303-201609,ECSE303,F2016,B-,2.70,3.00,#REF!
ECSE304-201609,ECSE304,F2016,B+,3.30,3.00,#REF!
ECSE304-201701,ECSE304,W2017,B+,3.30,3.00,#REF!
ECSE305-201601,ECSE305,W2016,B-,2.70,3.00,#REF!
ECSE305-201609,ECSE305,F2016,B,3.00,3.00,#REF!
ECSE305-201701,ECSE305,W2017,B,3.00,3.00,#REF!
ECSE305-201709,ECSE305,F2017,B+,3.30,3.00,#REF!
ECSE305-201801,ECSE305,W2018,B-,2.70,3.00,#REF!
ECSE305-201809,ECSE305,F2018,B+,3.30,3.00,#REF!
ECSE306-201509,ECSE306,F2015,B+,3.30,3.00,#REF!
